Sample_ID	DNA_concentration	k__Bacteria	k__Archaea	k__Eukaryota	unclassified	bac_frac	Sample_type	log_copies_per_extraction	Plate	alpha
P07E07	71.96	86.71324042549627	0.0298916833246997	0	13.25687	0.8943483095708766	next_day	9.091342365879685	P07	3.0022039602823605
P07F07	77.72	95.18273216551856	0	0	4.81727	0.916076295935772	next_day	8.962795870655809	P07	1.9558851719012813
P07G07	32.79	94.79394045255162	0.0109689280153315	0	5.19509	0.8820799498503946	next_day	8.84704179740129	P07	1.3324413242535749
P07H07	1.85	89.89108735251233	0	0	10.10891	0.8262606072976622	next_day	7.604785606199913	P07	1.038894083404654
P07A08	2.31	85.48549706307182	0	0.0076858371427292	14.50682	0.7732645953593639	next_day	7.895121395922216	P07	1.3400332714544136
P07B08	158.67	86.85940537986514	0	0	13.14059	0.9422536899524684	next_day	9.913920002639337	P07	3.224434134444527
P07C08	59.19	78.750150988091	0	0	21.24985	0.8695792027098533	next_day	9.101793737921138	P07	2.726230309109299
P07D08	175.79	95.84404907467815	0	0	4.15595	0.9568090803732392	next_day	9.933241878602642	P07	3.1140747448841872
P07E08	18.38	68.27554168093587	0	0	31.72446	0.8564048022043496	next_day	8.398347057639931	P07	2.4117563629846117
P07F08	91.63	84.02175013226895	1.1809779737316533	0	14.79727	0.937616116183342	next_day	9.450026829991284	P07	3.7192460899311177
P07G08	42.98	84.99343619306147	0	0	15.00656	0.9441461724465146	next_day	9.437832924786235	P07	2.5306380382530373
P07H08	40.4	84.70410944606864	0	0	15.29589	0.9616032277431866	next_day	9.239333202535834	P07	2.2083894241436473
P07A09	14.18	99.53123516849617	0	0	0.46876	0.9463747859014104	next_day	8.778293062023728	P07	2.8955864872644588
P07B09	29.3	85.23683336930226	0	0	14.76317	0.9421356201118386	next_day	8.839263112963437	P07	2.557378740934023
P07C09	152.69	88.07655917254841	0.4279280461511341	0	11.49551	0.9306526498320998	next_day	9.510108568368857	P07	3.900263077614957
P07D09	104.14	80.1447449582283	0	0	19.85526	0.9411037934063176	next_day	9.600757683224437	P07	2.311708664950126
P07E09	74.24	83.83167579838397	0	0	16.16832	0.8998644384962051	next_day	9.308751596636212	P07	2.506609767830404
P07F09	15.48	92.48953439400402	0	0	7.51047	0.9459474901476456	next_day	8.4728279244202	P07	1.9915295231554215
P07G09	118.88	87.41607437248805	0	0	12.58393	0.9340249981002012	next_day	9.73995273056255	P07	2.5405926901706968
P07H09	20.04	95.4948902647173	0	0	4.50511	0.952187637657888	next_day	8.797361784303869	P07	3.0378403485292305
P07A10	4.5	96.7806311151423	0	0.0172687453351091	3.2021	0.9399183744371592	next_day	8.01279478471883	P07	1.863524280607096
P07B10	75.27	91.34303849149852	0.2975386257843942	0	8.35942	0.884921123275677	next_day	9.598042377494531	P07	3.5567073700252254
P07C10	80.86	89.01504245638539	0	0	10.98496	0.938829263013344	next_day	9.523752341014056	P07	3.365389273470174
P07D10	37.03	84.58141918847895	0.1254169415741566	0	15.29316	0.9018838944162542	next_day	9.104147294081036	P07	3.5273149766068705
P07E10	53.51	86.90428297646142	0	0	13.09572	0.8797506819105442	next_day	9.109540601572048	P07	3.5949768437741634
P07F10	106.63	93.19311554680108	0.0022926070405845	0	6.80459	0.8794626324400714	next_day	9.543350611136928	P07	3.9707984460076577
P07G10	70.11	88.46158632852925	0.0063254556925718	0	11.53209	0.9510732359729712	next_day	9.4128989935051	P07	3.6869483248817514
P07H10	146.41	91.1370131986686	0.0720277796605865	0	8.79096	0.8859848007577327	next_day	9.7900637641086	P07	3.590614390952356
P07A11	129.35	87.44260334216261	0.5236277874219651	0	12.03377	0.9189135830316396	next_day	9.83243734612957	P07	3.718217364912597
P07B11	42.58	89.91527610237118	0.8943660031690447	0	9.19036	0.9322624252691254	next_day	9.1177064060202	P07	3.8746445165624426
P07C11	58.57	93.016170754399	0	0	6.98383	0.8852505429147511	next_day	9.270417575550688	P07	3.3273286352724125
P07D11	17.23	94.73440739023076	0	0	5.26559	0.9433144388137756	next_day	8.717303212067844	P07	3.27438393389626
P07E11	48.94	93.43337185181947	0	0	6.56663	0.8939591844927489	next_day	9.598766971284409	P07	4.01110355348193
P07F11	37.97	90.17834351042266	0.1341592228102174	0	9.6875	0.940373671036618	next_day	9.082278427425615	P07	3.992067995729991
P07G11	26.12	93.6456348610054	0	0	6.35437	0.9299862269043232	next_day	8.815996399182001	P07	2.939264121254279
P07H11	45.38	86.45831618567469	0.1860774998790953	0	13.35561	0.8975858970061019	next_day	9.351762068890508	P07	3.754648121758338
